,name,distance,mass,radius
0,Sun,0.000015813,1,1
1,Sirius,8.6,2.1,1.71´
2,Canopus,310,15,71
3,Alpha Centauri,4.4,1.1,1.2
4,Arcturus,37,1.1,26
5,Vega,25,2.2,2.7
6,Capella,43,2.6,12
7,Rigel,860,23,78.9
8,Procyon,11.4,1.5,1.9
9,Betelgeuse,640[1],20,950
10,Achernar,144,6.7,9.3
11,Hadar,390,10.5,8.6
12,Altair,17,1.8,1.8
13,Acrux,320,18,8.9
14,Aldebaran,65,1.5,44
15,Antares,600,12,680
16,Spica,260,11.43,7.47
17,Pollux,34,1.9,8.8
18,Fomalhaut,25,1.9,1.8
19,Deneb,2600,19,203
20,Mimosa,350,16,8.4
21,Regulus,77,3.8,3.1
22,Adhara,430,12.5,14
23,Shaula,700,14.5,8.8
24,Castor,52,2.8,2.4
25,Gacrux,88,1.5,84
26,Bellatrix,240,8.6,5.8
27,Elnath,130,5.0,4.2
28,Miaplacidus,110,3.5,6.8
29,Alnilam,2000,32,42
30,Gamma Velorum,1100,9.0,6
31,Alnair,101,4.0,3.4
32,Alioth,81,2.9,4.2
33,Alnitak,1050,33,20
34,Dubhe,120,4.25,30
35,Mirfak,590,8.5,68
36,Wezen,1600,17,200
37,Sargas,270,5.7,26
38,Kaus Australis,140,3.5,6.8
39,Avior,630,9.0,130
40,Alkaid,104,6.1,3.4
41,Menkalinan,81,2.39,2.77
42,Atria,390,7,92
43,Alhena,109,2.8,3.3
44,Peacock,180,5.9,4.8
45,Alsephina[2],80,2.4,2.9
46,Mirzam,500,13.5,10
47,Polaris,430,5.4,39
48,Alphard,180,3.0,50
49,Mintaka,1200,24,16.5
50,Scheat,196,2.1,95
51,Almaaz,653,15,140
52,Rasalgethi,360,2.8,280
53,Tau Ceti,11.9,0.783,0.893
54,Delta Pavonis,19.92,0.991,1.22
55,Ran,10.48,0.82,0.74
56,V382 Carinae,8900,20,485
57,Eta Carinae,7500,100,60–881
58,Delta Cephei,887,4.5,44.5
59,Mu Cephei,6000,19.2,972
60,Titawin,44.25,1.27,1.48
61,Rho Cassiopeiae,8154,22,636-981
62,P Cygni,5545,30,76
63,La Superba,1000,,129 - 342
64,VV Cephei,4900,18.2,"516 - 1,050"
65,61 Cygni,11.41,0.7,0.665
66,R Doradus,178,0.7 - 1.0,298
67,Polaris Australis,281,1.59,3.74
68,R Coronae Borealis,4566,0.85,85
69,54 Piscium,36.1,0.76,0.94
70,Mira,300,1.2,370
71,RW Cephei,14000,13.9,1158
72,Lacaille 8760,12.87,0.6,0.51
73,V838 Monocerotis,19896,?,380 - 750
74,HD 140283,190,?,1.4
75,II Pegasi,130,0.8,3.4
76,VY Canis Majoris,3900,17,1420
77,Pistol Star,25000,100,320
78,S Doradus,169000,24,380
79,UY Scuti,5100,7–10,755
80,Barnard's Star,5.98,0.14,0.20
81,Luhman 16,6.52,0.04,?
82,Proxima Centauri,4.25,0.12,0.15
83,KIC 8462852,1470,1.43,1.58
84,R136a1,163000,290,32
85,Melnick 42,163000,189,21.1
86,WR 102,18134,19,0.39
87,VFTS 352,164000,57.48,14.47
88,YBP 1194,2772,1.01,0.99
89,Gliese 1214,47.5,0.16,0.21
90,NML Cygni,5251,50,"1,640 - 2,770"
91,VB 10,18.72,0.075,0.10
92,WOH G64,163000,<20,"1,540 - 1,730"
93,TRAPPIST-1,39.6,0.089,0.12
94,2MASS J0523-1403,40.3,0.07,0.086
95,WISE 0855−0714,7.27,0.003,?
96,Icarus,14400000000,33,?
